date,shop,variety,size,seller_price_per_stem,units_sold
2024-10-07,Anthurium Flower Garden,Red,Large,95.67,67
2024-10-07,Horana Anthurium,Baby Pink,Large,96.84,41
2024-10-07,Horana Anthurium,Black Cardinal,Medium,87.92,12
2024-10-07,Horana Anthurium,Flash,Medium,93.15,26
2024-10-07,Horana Anthurium,Lady Jane,Medium,80.11,34
2024-10-07,Horana Anthurium,Red,Large,86.66,56
2024-10-07,Oscar Anthurium,Baby Pink,Small,76.17,61
2024-10-07,Oscar Anthurium,Black Cardinal,Small,77.1,12
2024-10-07,Oscar Anthurium,Flash,Small,85.07,24
2024-10-07,Oscar Anthurium,Lady Jane,Medium,83.53,36
2024-10-07,Oscar Anthurium,Red,Large,92.18,68
2024-10-14,Anthurium Flower Garden,Baby Pink,Medium,93.32,53
2024-10-14,Anthurium Flower Garden,Black Cardinal,Large,112.41,21
2024-10-14,Anthurium Flower Garden,Flash,Small,88.38,30
2024-10-14,Anthurium Flower Garden,Lady Jane,Large,101.76,43
2024-10-14,Anthurium Flower Garden,Red,Small,72.01,94
2024-10-14,Horana Anthurium,Baby Pink,Medium,84.17,24
2024-10-14,Horana Anthurium,Black Cardinal,Medium,88.99,16
2024-10-14,Horana Anthurium,Flash,Small,81.03,16
2024-10-14,Horana Anthurium,Lady Jane,Medium,80.37,26
2024-10-14,Horana Anthurium,Red,Small,63.35,42
2024-10-14,Oscar Anthurium,Baby Pink,Small,73.75,30
2024-10-14,Oscar Anthurium,Black Cardinal,Medium,90.95,13
2024-10-14,Oscar Anthurium,Flash,Large,114.42,25
2024-10-14,Oscar Anthurium,Lady Jane,Small,70.59,30
2024-10-14,Oscar Anthurium,Red,Medium,80.28,58
2024-10-21,Anthurium Flower Garden,Baby Pink,Small,77.45,66
2024-10-21,Anthurium Flower Garden,Black Cardinal,Small,82.23,18
2024-10-21,Anthurium Flower Garden,Flash,Small,88.27,24
2024-10-21,Anthurium Flower Garden,Lady Jane,Medium,89.44,39
2024-10-21,Anthurium Flower Garden,Red,Large,94.76,94
2024-10-21,Horana Anthurium,Baby Pink,Small,69.73,42
2024-10-21,Horana Anthurium,Black Cardinal,Medium,87.46,11
2024-10-21,Horana Anthurium,Flash,Medium,93.53,16
2024-10-21,Horana Anthurium,Lady Jane,Large,91.83,24
2024-10-21,Horana Anthurium,Red,Medium,74.75,50
2024-10-21,Oscar Anthurium,Baby Pink,Large,102.44,40
2024-10-21,Oscar Anthurium,Black Cardinal,Large,107.03,18
2024-10-21,Oscar Anthurium,Flash,Small,84.66,26
2024-10-21,Oscar Anthurium,Lady Jane,Small,70.56,23
2024-10-21,Oscar Anthurium,Red,Small,67.5,63
2024-10-28,Anthurium Flower Garden,Baby Pink,Medium,93.6,50
2024-10-28,Anthurium Flower Garden,Black Cardinal,Medium,95.41,12
2024-10-28,Anthurium Flower Garden,Flash,Large,122.92,39
2024-10-28,Anthurium Flower Garden,Lady Jane,Medium,88.56,39
2024-10-28,Anthurium Flower Garden,Red,Small,72.66,80
2024-10-28,Horana Anthurium,Baby Pink,Medium,82.35,30
2024-10-28,Horana Anthurium,Black Cardinal,Medium,85.9,14
2024-10-28,Horana Anthurium,Flash,Medium,93.36,26
2024-10-28,Horana Anthurium,Lady Jane,Large,90.52,31
2024-10-28,Horana Anthurium,Red,Medium,74.87,56
2024-10-28,Oscar Anthurium,Baby Pink,Large,103.07,40
2024-10-28,Oscar Anthurium,Black Cardinal,Medium,93.49,14
2024-10-28,Oscar Anthurium,Flash,Medium,99.6,29
2024-10-28,Oscar Anthurium,Lady Jane,Small,71.73,25
2024-10-28,Oscar Anthurium,Red,Medium,78.83,56
2024-11-04,Anthurium Flower Garden,Baby Pink,Small,79.92,48
2024-11-04,Anthurium Flower Garden,Black Cardinal,Large,108.99,19
2024-11-04,Anthurium Flower Garden,Flash,Medium,105.95,34
2024-11-04,Anthurium Flower Garden,Lady Jane,Small,74.89,36
2024-11-04,Anthurium Flower Garden,Red,Small,70.15,92
2024-11-04,Horana Anthurium,Baby Pink,Small,72.42,34
2024-11-04,Horana Anthurium,Black Cardinal,Small,73.73,14
2024-11-04,Horana Anthurium,Flash,Large,107.62,25
2024-11-04,Horana Anthurium,Lady Jane,Medium,80.14,24
2024-11-04,Horana Anthurium,Red,Small,63.38,48
2024-11-04,Oscar Anthurium,Baby Pink,Medium,87.42,32
2024-11-04,Oscar Anthurium,Black Cardinal,Small,79.64,13
2024-11-04,Oscar Anthurium,Flash,Medium,101.51,19
2024-11-04,Oscar Anthurium,Lady Jane,Medium,83.13,36
2024-11-04,Oscar Anthurium,Red,Small,68.16,78
2024-11-11,Anthurium Flower Garden,Baby Pink,Medium,93.47,44
2024-11-11,Anthurium Flower Garden,Black Cardinal,Medium,98.49,14
2024-11-11,Anthurium Flower Garden,Flash,Large,119.32,36
2024-11-11,Anthurium Flower Garden,Lady Jane,Large,101.5,50
2024-11-11,Anthurium Flower Garden,Red,Medium,83.7,109
2024-11-11,Horana Anthurium,Baby Pink,Medium,83.97,52
2024-11-11,Horana Anthurium,Black Cardinal,Medium,86,12
2024-11-11,Horana Anthurium,Flash,Small,79.91,24
2024-11-11,Horana Anthurium,Lady Jane,Medium,78.48,38
2024-11-11,Horana Anthurium,Red,Small,65.03,44
2024-11-11,Oscar Anthurium,Baby Pink,Small,74.68,44
2024-11-11,Oscar Anthurium,Black Cardinal,Large,107.02,19
2024-11-11,Oscar Anthurium,Flash,Small,85.9,14
2024-11-11,Oscar Anthurium,Lady Jane,Small,72.25,34
2024-11-11,Oscar Anthurium,Red,Medium,79.49,51
2024-11-18,Anthurium Flower Garden,Baby Pink,Large,104.29,52
2024-11-18,Anthurium Flower Garden,Black Cardinal,Medium,98.17,26
2024-11-18,Anthurium Flower Garden,Flash,Medium,104.65,44
2024-11-18,Anthurium Flower Garden,Lady Jane,Small,76.25,50
2024-11-18,Anthurium Flower Garden,Red,Medium,83.98,86
2024-11-18,Horana Anthurium,Baby Pink,Medium,83.26,34
2024-11-18,Horana Anthurium,Black Cardinal,Medium,88.58,6
2024-11-18,Horana Anthurium,Flash,Large,110.41,26
2024-11-18,Horana Anthurium,Lady Jane,Large,90.84,24
2024-11-18,Horana Anthurium,Red,Medium,74.83,54
2024-11-18,Oscar Anthurium,Baby Pink,Medium,87.83,31
2024-11-18,Oscar Anthurium,Black Cardinal,Medium,91.78,14
2024-11-18,Oscar Anthurium,Flash,Small,83.93,21
2024-11-18,Oscar Anthurium,Lady Jane,Medium,83.83,30
2024-11-18,Oscar Anthurium,Red,Large,93.17,72
2024-11-25,Anthurium Flower Garden,Baby Pink,Small,80.01,54
2024-11-25,Anthurium Flower Garden,Black Cardinal,Small,82.54,20
2024-11-25,Anthurium Flower Garden,Flash,Medium,104.88,36
2024-11-25,Anthurium Flower Garden,Lady Jane,Small,74.88,42
2024-11-25,Anthurium Flower Garden,Red,Medium,82.76,97
2024-11-25,Horana Anthurium,Baby Pink,Medium,84.8,34
2024-11-25,Horana Anthurium,Black Cardinal,Large,99.49,14
2024-11-25,Horana Anthurium,Flash,Medium,95.75,16
2024-11-25,Horana Anthurium,Lady Jane,Large,91,35
2024-11-25,Horana Anthurium,Red,Large,88.88,64
2024-11-25,Oscar Anthurium,Baby Pink,Small,76,30
2024-11-25,Oscar Anthurium,Black Cardinal,Medium,93.36,20
2024-11-25,Oscar Anthurium,Flash,Medium,99.51,24
2024-11-25,Oscar Anthurium,Lady Jane,Medium,82.81,31
2024-11-25,Oscar Anthurium,Red,Small,68.46,64
2024-12-02,Anthurium Flower Garden,Baby Pink,Small,87.44,54
2024-12-02,Anthurium Flower Garden,Black Cardinal,Medium,104.82,20
2024-12-02,Anthurium Flower Garden,Flash,Medium,115.04,36
2024-12-02,Anthurium Flower Garden,Lady Jane,Small,82.98,27
2024-12-02,Anthurium Flower Garden,Red,Medium,91.03,94
2024-12-02,Horana Anthurium,Baby Pink,Medium,93,44
2024-12-02,Horana Anthurium,Black Cardinal,Medium,94.43,17
2024-12-02,Horana Anthurium,Flash,Medium,104.96,15
2024-12-02,Horana Anthurium,Lady Jane,Small,73.54,38
2024-12-02,Horana Anthurium,Red,Medium,84.84,67
2024-12-02,Oscar Anthurium,Baby Pink,Small,81.53,44
2024-12-02,Oscar Anthurium,Black Cardinal,Large,115.45,20
2024-12-02,Oscar Anthurium,Flash,Small,93.51,23
2024-12-02,Oscar Anthurium,Lady Jane,Medium,93.17,38
2024-12-02,Oscar Anthurium,Red,Medium,87.69,69
2024-12-09,Anthurium Flower Garden,Baby Pink,Large,119.22,52
2024-12-09,Anthurium Flower Garden,Black Cardinal,Medium,104.47,22
2024-12-09,Anthurium Flower Garden,Flash,Large,133.83,26
2024-12-09,Anthurium Flower Garden,Lady Jane,Small,83.07,46
2024-12-09,Anthurium Flower Garden,Red,Medium,90.83,84
2024-12-09,Horana Anthurium,Baby Pink,Large,106.98,36
2024-12-09,Horana Anthurium,Black Cardinal,Small,82.48,18
2024-12-09,Horana Anthurium,Flash,Medium,103.86,28
2024-12-09,Horana Anthurium,Lady Jane,Medium,88.95,29
2024-12-09,Horana Anthurium,Red,Medium,84.52,61
2024-12-09,Oscar Anthurium,Baby Pink,Medium,97.34,58
2024-12-09,Oscar Anthurium,Black Cardinal,Large,117.8,18
2024-12-09,Oscar Anthurium,Flash,Small,92.73,23
2024-12-09,Oscar Anthurium,Lady Jane,Medium,92.76,28
2024-12-09,Oscar Anthurium,Red,Medium,86.63,62
2024-12-16,Anthurium Flower Garden,Baby Pink,Medium,101.2,58
2024-12-16,Anthurium Flower Garden,Black Cardinal,Large,119.94,12
2024-12-16,Anthurium Flower Garden,Flash,Medium,116.12,32
2024-12-16,Anthurium Flower Garden,Lady Jane,Small,82.43,43
2024-12-16,Anthurium Flower Garden,Red,Medium,94.03,110
2024-12-16,Horana Anthurium,Baby Pink,Small,79.64,49
2024-12-16,Horana Anthurium,Black Cardinal,Medium,97.71,12
2024-12-16,Horana Anthurium,Flash,Medium,103.26,25
2024-12-16,Horana Anthurium,Lady Jane,Medium,87.31,28
2024-12-16,Horana Anthurium,Red,Small,71.42,54
2024-12-16,Oscar Anthurium,Baby Pink,Small,82.76,46
2024-12-16,Oscar Anthurium,Black Cardinal,Small,86.31,20
2024-12-16,Oscar Anthurium,Flash,Medium,109.19,29
2024-12-16,Oscar Anthurium,Lady Jane,Large,106.41,32
2024-12-16,Oscar Anthurium,Red,Small,73.75,74
2024-12-23,Anthurium Flower Garden,Baby Pink,Medium,101.12,66
2024-12-23,Anthurium Flower Garden,Black Cardinal,Medium,106.48,24
2024-12-23,Anthurium Flower Garden,Flash,Medium,117.26,40
2024-12-23,Anthurium Flower Garden,Lady Jane,Medium,98.55,57
2024-12-23,Anthurium Flower Garden,Red,Large,104.85,116
2024-12-23,Horana Anthurium,Baby Pink,Medium,90.15,38
2024-12-23,Horana Anthurium,Black Cardinal,Small,83.07,12
2024-12-23,Horana Anthurium,Flash,Medium,104.41,22
2024-12-23,Horana Anthurium,Lady Jane,Medium,86.64,30
2024-12-23,Horana Anthurium,Red,Medium,82.27,69
2024-12-23,Oscar Anthurium,Baby Pink,Medium,95.28,36
2024-12-23,Oscar Anthurium,Black Cardinal,Medium,100.72,12
2024-12-23,Oscar Anthurium,Flash,Large,127.6,32
2024-12-23,Oscar Anthurium,Lady Jane,Medium,93.21,43
2024-12-23,Oscar Anthurium,Red,Medium,89.25,68
2024-12-30,Anthurium Flower Garden,Baby Pink,Medium,100.36,52
2024-12-30,Anthurium Flower Garden,Black Cardinal,Medium,107.67,30
2024-12-30,Anthurium Flower Garden,Flash,Medium,113.88,34
2024-12-30,Anthurium Flower Garden,Lady Jane,Large,110.39,46
2024-12-30,Anthurium Flower Garden,Red,Small,77.23,68
2024-12-30,Horana Anthurium,Baby Pink,Small,79.53,40
2024-12-30,Horana Anthurium,Black Cardinal,Large,110.75,16
2024-12-30,Horana Anthurium,Flash,Medium,104.3,18
2024-12-30,Horana Anthurium,Lady Jane,Medium,88.26,28
2024-12-30,Horana Anthurium,Red,Medium,84.81,51
2024-12-30,Oscar Anthurium,Baby Pink,Medium,97.14,51
2024-12-30,Oscar Anthurium,Black Cardinal,Small,84.64,22
2024-12-30,Oscar Anthurium,Flash,Medium,110.44,24
2024-12-30,Oscar Anthurium,Lady Jane,Medium,94.15,52
2024-12-30,Oscar Anthurium,Red,Large,102.09,49
2025-01-06,Anthurium Flower Garden,Baby Pink,Medium,94.04,69
2025-01-06,Anthurium Flower Garden,Black Cardinal,Medium,97,28
2025-01-06,Anthurium Flower Garden,Flash,Medium,104.3,24
2025-01-06,Anthurium Flower Garden,Lady Jane,Medium,86.68,34
2025-01-06,Anthurium Flower Garden,Red,Small,72.44,78
2025-01-06,Horana Anthurium,Baby Pink,Medium,85.21,32
2025-01-06,Horana Anthurium,Black Cardinal,Small,73.59,14
2025-01-06,Horana Anthurium,Flash,Medium,93.76,21
2025-01-06,Horana Anthurium,Lady Jane,Medium,79.53,29
2025-01-06,Horana Anthurium,Red,Small,63.43,54
2025-01-06,Oscar Anthurium,Baby Pink,Medium,87.38,46
2025-01-06,Oscar Anthurium,Black Cardinal,Large,106.19,14
2025-01-06,Oscar Anthurium,Flash,Medium,99.47,21
2025-01-06,Oscar Anthurium,Lady Jane,Large,97.17,32
2025-01-06,Oscar Anthurium,Red,Large,91.97,61
2025-01-13,Anthurium Flower Garden,Baby Pink,Medium,92.89,39
2025-01-13,Anthurium Flower Garden,Black Cardinal,Large,109.13,22
2025-01-13,Anthurium Flower Garden,Flash,Small,89.38,26
2025-01-13,Anthurium Flower Garden,Lady Jane,Medium,89.02,47
2025-01-13,Anthurium Flower Garden,Red,Large,96.46,66
2025-01-13,Horana Anthurium,Baby Pink,Medium,82.78,43
2025-01-13,Horana Anthurium,Black Cardinal,Large,101.05,12
2025-01-13,Horana Anthurium,Flash,Small,82.28,14
2025-01-13,Horana Anthurium,Lady Jane,Small,66.93,38
2025-01-13,Horana Anthurium,Red,Medium,76.91,63
2025-01-13,Oscar Anthurium,Baby Pink,Medium,89.64,44
2025-01-13,Oscar Anthurium,Black Cardinal,Small,76.91,16
2025-01-13,Oscar Anthurium,Flash,Medium,101.26,20
2025-01-13,Oscar Anthurium,Lady Jane,Large,97.84,22
2025-01-13,Oscar Anthurium,Red,Medium,79.29,56
2025-01-20,Anthurium Flower Garden,Baby Pink,Medium,92.73,52
2025-01-20,Anthurium Flower Garden,Black Cardinal,Medium,96.93,34
2025-01-20,Anthurium Flower Garden,Flash,Medium,106.41,36
2025-01-20,Anthurium Flower Garden,Lady Jane,Medium,88.37,46
2025-01-20,Anthurium Flower Garden,Red,Large,95.86,89
2025-01-20,Horana Anthurium,Baby Pink,Medium,84.42,36
2025-01-20,Horana Anthurium,Black Cardinal,Medium,88.71,16
2025-01-20,Horana Anthurium,Flash,Small,80.04,18
2025-01-20,Horana Anthurium,Lady Jane,Medium,79.08,22
2025-01-20,Horana Anthurium,Red,Large,86.87,60
2025-01-20,Oscar Anthurium,Baby Pink,Large,100.16,40
2025-01-20,Oscar Anthurium,Black Cardinal,Small,78.51,10
2025-01-20,Oscar Anthurium,Flash,Large,115.62,26
2025-01-20,Oscar Anthurium,Lady Jane,Large,98.3,32
2025-01-20,Oscar Anthurium,Red,Large,92.63,68
2025-01-27,Anthurium Flower Garden,Baby Pink,Medium,93.3,60
2025-01-27,Anthurium Flower Garden,Black Cardinal,Medium,98,24
2025-01-27,Anthurium Flower Garden,Flash,Large,120.63,34
2025-01-27,Anthurium Flower Garden,Lady Jane,Medium,89.35,30
2025-01-27,Anthurium Flower Garden,Red,Large,96.34,74
2025-01-27,Horana Anthurium,Baby Pink,Small,70.77,36
2025-01-27,Horana Anthurium,Black Cardinal,Medium,86.96,12
2025-01-27,Horana Anthurium,Flash,Medium,95.6,12
2025-01-27,Horana Anthurium,Lady Jane,Large,92.47,20
2025-01-27,Horana Anthurium,Red,Medium,76.91,48
2025-01-27,Oscar Anthurium,Baby Pink,Small,75.85,58
2025-01-27,Oscar Anthurium,Black Cardinal,Medium,93.18,21
2025-01-27,Oscar Anthurium,Flash,Small,86.12,22
2025-01-27,Oscar Anthurium,Lady Jane,Large,97.83,29
2025-01-27,Oscar Anthurium,Red,Medium,79.59,50
2025-02-03,Anthurium Flower Garden,Baby Pink,Medium,101.23,74
2025-02-03,Anthurium Flower Garden,Black Cardinal,Medium,106.01,16
2025-02-03,Anthurium Flower Garden,Flash,Large,130.12,32
2025-02-03,Anthurium Flower Garden,Lady Jane,Medium,95.7,42
2025-02-03,Anthurium Flower Garden,Red,Large,105.7,98
2025-02-03,Horana Anthurium,Baby Pink,Medium,89.01,46
2025-02-03,Horana Anthurium,Black Cardinal,Small,79.5,14
2025-02-03,Horana Anthurium,Flash,Medium,104.02,22
2025-02-03,Horana Anthurium,Lady Jane,Medium,85.94,34
2025-02-03,Horana Anthurium,Red,Small,70.91,48
2025-02-03,Oscar Anthurium,Baby Pink,Large,110.47,36
2025-02-03,Oscar Anthurium,Black Cardinal,Large,115.08,24
2025-02-03,Oscar Anthurium,Flash,Medium,108.51,26
2025-02-03,Oscar Anthurium,Lady Jane,Medium,90.31,32
2025-02-03,Oscar Anthurium,Red,Medium,85.09,42
2025-02-10,Anthurium Flower Garden,Baby Pink,Medium,98.64,68
2025-02-10,Anthurium Flower Garden,Black Cardinal,Large,118.08,18
2025-02-10,Anthurium Flower Garden,Flash,Medium,113.36,24
2025-02-10,Anthurium Flower Garden,Lady Jane,Medium,95.71,48
2025-02-10,Anthurium Flower Garden,Red,Medium,92.21,68
2025-02-10,Horana Anthurium,Baby Pink,Medium,88.77,48
2025-02-10,Horana Anthurium,Black Cardinal,Medium,93.2,18
2025-02-10,Horana Anthurium,Flash,Medium,103.11,20
2025-02-10,Horana Anthurium,Lady Jane,Medium,87.46,25
2025-02-10,Horana Anthurium,Red,Small,69.6,59
2025-02-10,Oscar Anthurium,Baby Pink,Medium,95.48,43
2025-02-10,Oscar Anthurium,Black Cardinal,Large,112.26,16
2025-02-10,Oscar Anthurium,Flash,Small,93.49,28
2025-02-10,Oscar Anthurium,Lady Jane,Large,102.66,36
2025-02-10,Oscar Anthurium,Red,Medium,87.31,68
2025-02-17,Anthurium Flower Garden,Baby Pink,Medium,101.45,70
2025-02-17,Anthurium Flower Garden,Black Cardinal,Medium,105.47,19
2025-02-17,Anthurium Flower Garden,Flash,Small,97.31,38
2025-02-17,Anthurium Flower Garden,Lady Jane,Medium,95.46,42
2025-02-17,Anthurium Flower Garden,Red,Medium,90.57,78
2025-02-17,Horana Anthurium,Baby Pink,Large,104.71,52
2025-02-17,Horana Anthurium,Black Cardinal,Large,107.1,14
2025-02-17,Horana Anthurium,Flash,Medium,101.41,23
2025-02-17,Horana Anthurium,Lady Jane,Small,73.47,27
2025-02-17,Horana Anthurium,Red,Medium,81.66,66
2025-02-17,Oscar Anthurium,Baby Pink,Large,107.47,52
2025-02-17,Oscar Anthurium,Black Cardinal,Large,113.63,18
2025-02-17,Oscar Anthurium,Flash,Small,91.93,22
2025-02-17,Oscar Anthurium,Lady Jane,Medium,88.94,39
2025-02-17,Oscar Anthurium,Red,Medium,87.55,60
2025-02-24,Anthurium Flower Garden,Baby Pink,Medium,98.77,66
2025-02-24,Anthurium Flower Garden,Black Cardinal,Small,87.62,30
2025-02-24,Anthurium Flower Garden,Flash,Medium,111.54,39
2025-02-24,Anthurium Flower Garden,Lady Jane,Medium,96.62,40
2025-02-24,Anthurium Flower Garden,Red,Medium,92.07,90
2025-02-24,Horana Anthurium,Baby Pink,Small,76.73,37
2025-02-24,Horana Anthurium,Black Cardinal,Medium,95.21,12
2025-02-24,Horana Anthurium,Flash,Medium,100.93,16
2025-02-24,Horana Anthurium,Lady Jane,Small,73.87,25
2025-02-24,Horana Anthurium,Red,Medium,80.73,40
2025-02-24,Oscar Anthurium,Baby Pink,Medium,93.22,54
2025-02-24,Oscar Anthurium,Black Cardinal,Medium,99.15,12
2025-02-24,Oscar Anthurium,Flash,Large,124.67,14
2025-02-24,Oscar Anthurium,Lady Jane,Medium,89.03,29
2025-02-24,Oscar Anthurium,Red,Medium,87.53,72
2025-03-03,Anthurium Flower Garden,Baby Pink,Large,114.9,56
2025-03-03,Anthurium Flower Garden,Black Cardinal,Medium,104.87,23
2025-03-03,Anthurium Flower Garden,Flash,Small,96.17,34
2025-03-03,Anthurium Flower Garden,Lady Jane,Medium,93.66,43
2025-03-03,Anthurium Flower Garden,Red,Large,104.44,102
2025-03-03,Horana Anthurium,Baby Pink,Large,102.04,42
2025-03-03,Horana Anthurium,Black Cardinal,Medium,95.24,19
2025-03-03,Horana Anthurium,Flash,Small,88.19,23
2025-03-03,Horana Anthurium,Lady Jane,Small,72.71,36
2025-03-03,Horana Anthurium,Red,Medium,82.84,75
2025-03-03,Oscar Anthurium,Baby Pink,Medium,94.24,42
2025-03-03,Oscar Anthurium,Black Cardinal,Small,83.85,16
2025-03-03,Oscar Anthurium,Flash,Large,122.34,34
2025-03-03,Oscar Anthurium,Lady Jane,Medium,91.96,42
2025-03-03,Oscar Anthurium,Red,Medium,86.39,67
2025-03-10,Anthurium Flower Garden,Baby Pink,Medium,99.4,48
2025-03-10,Anthurium Flower Garden,Black Cardinal,Small,87.1,22
2025-03-10,Anthurium Flower Garden,Flash,Large,127.86,32
2025-03-10,Anthurium Flower Garden,Lady Jane,Small,80.55,43
2025-03-10,Anthurium Flower Garden,Red,Small,77.55,78
2025-03-10,Horana Anthurium,Baby Pink,Medium,89.86,44
2025-03-10,Horana Anthurium,Black Cardinal,Large,110.27,11
2025-03-10,Horana Anthurium,Flash,Medium,104.38,22
2025-03-10,Horana Anthurium,Lady Jane,Medium,85.89,30
2025-03-10,Horana Anthurium,Red,Medium,81.24,60
2025-03-10,Oscar Anthurium,Baby Pink,Small,80.28,64
2025-03-10,Oscar Anthurium,Black Cardinal,Medium,99.24,12
2025-03-10,Oscar Anthurium,Flash,Medium,108.36,39
2025-03-10,Oscar Anthurium,Lady Jane,Medium,91.82,40
2025-03-10,Oscar Anthurium,Red,Large,98.17,48
2025-03-17,Anthurium Flower Garden,Baby Pink,Medium,99.1,55
2025-03-17,Anthurium Flower Garden,Black Cardinal,Large,118.48,28
2025-03-17,Anthurium Flower Garden,Flash,Small,97.72,34
2025-03-17,Anthurium Flower Garden,Lady Jane,Large,108.89,27
2025-03-17,Anthurium Flower Garden,Red,Medium,89.89,80
2025-03-17,Horana Anthurium,Baby Pink,Medium,88.78,34
2025-03-17,Horana Anthurium,Black Cardinal,Medium,94.95,12
